"ID","Given","When","Then","Status","Build","DataVersion","ActualResult","Evidence","Defect","Executor","AcceptedBy"
"UAT-01","Batch có bản đúng, trùng, thiếu khóa, GPS không đúng chủ chuyến","Nhận batch và chạy lại","Đối soát số bản đúng/trùng/lỗi; dữ liệu sai bị cách ly; không tạo quan hệ sai; watermark chính xác","Chưa thực hiện","","","","","","",""
"UAT-02","Cặp GPS trong từng ca biên, có trường quality và nguồn","Chạy quy tắc GPS bản đã duyệt","Đúng phép đo/đơn vị; không chia 0; ghi chất lượng/thứ tự; có nguồn và version; không tự kết luận gian lận","Chưa thực hiện","","","","","","",""
"UAT-03","Tập chuyến ngắn ở biên số lượng/thời gian/bán kính, có tuyến hợp lệ","Chạy quy tắc lặp","Đúng `[start,end)` và hướng tuyến; giữ đủ tập khớp; tuyến lặp hợp lệ vẫn được kiểm bối cảnh, không tự xác nhận","Chưa thực hiện","","","","","","",""
"UAT-04","Một thiết bị cấp luân phiên cho ba tài xế có sổ cấp phát","Chạy và điều tra dấu hiệu","Có liên kết lịch sử đúng; không suy dùng đồng thời; kiểm soát lưu được bằng chứng phản bác; không lộ hồ sơ chéo cho tài xế","Chưa thực hiện","","","","","","",""
"UAT-05","Chuyến thưởng và không thưởng, tỷ lệ biên, chưa có payout","Chạy/đọc nghi vấn khuyến mại","Mẫu số đủ mọi chuyến thuộc điều kiện; đúng version; hiện tiền nghi vấn riêng, không ghi tiền đã mất/thu hồi","Chưa thực hiện","","","","","","",""
"UAT-06","Batch/cảnh báo đã xử lý, có cùng đầu vào và một sự việc khác","Retry, chạy đồng thời rồi nhận dữ liệu mới","Cùng sự việc/snapshot không nhân đôi; sự việc khác không bị nuốt; dữ liệu mới liên kết/xét version, không xóa lịch sử","Chưa thực hiện","","","","","","",""
"UAT-07","Hai kiểm soát cùng nhận một hồ sơ, có hồ sơ quá hạn","Nhận/chuyển/lọc hàng đợi","Một owner hiện hành, người còn lại được báo xung đột; thứ tự ưu tiên đúng; chuyển người không reset hạn","Chưa thực hiện","","","","","","",""
"UAT-08","Bộ nguồn có mã, chữ có/không dấu, thời gian biên và nguồn trễ","Tìm mã, AND/OR bộ lọc, phân trang, tìm văn bản","Kết quả đúng ngữ nghĩa tài liệu 16; không lặp/mất giữa trang trong cùng snapshot; watermark hiện; không kết quả khác nguồn chưa khả dụng","Chưa thực hiện","","","","","","",""
"UAT-09","GPS có khoảng trống/đến trễ, thiết bị dùng luân phiên","Mở timeline/quan hệ","Tách event/received time và hiển thị timezone; không vẽ khoảng trống như hành trình chắc chắn; quan hệ có thời hạn và nguồn","Chưa thực hiện","","","","","","",""
"UAT-10","Evidence có bản gốc, bản che, hash; một bản bị thay byte","Lưu, kiểm và viện dẫn khi duyệt","Tìm được nguồn/version/phép tính; phát hiện sai hash; bản lỗi không được coi đã xác minh; phân loại được support/refute/unclear","Chưa thực hiện","","","","","","",""
"UAT-11","Hồ sơ cần hỏi tài xế và chứa dữ liệu người khác","Soạn, xem trước, phát hành","Bản công bố có sự việc/câu hỏi/hỗ trợ; dữ liệu bên thứ ba được che; giữ bản phát hành; chưa giao thì chưa tính due_at","Chưa thực hiện","","","","","","",""
"UAT-12","Tài xế đúng chủ, có nháp và tệp đúng/sai loại, quá cỡ, mã quét lỗi","Gửi và bổ sung","Nội dung chữ có biên nhận; chỉ tệp hợp lệ được dùng; tệp cách ly không preview; bản bổ sung không ghi đè; tài xế biết phần thiếu","Chưa thực hiện","","","","","","",""
"UAT-13","Mạng ngắt sau khi server lưu; 10 người thử tác vụ trên di động","Retry cùng mã, đăng nhập lại, thực hiện tác vụ","Chỉ một lần gửi; đọc lại được biên nhận/nháp đã lưu; tài khoản khác không đọc nháp; thử khả dụng đạt NFR-08 với biên bản riêng","Chưa thực hiện","","","","","","",""
"UAT-14","Gửi lỗi, giao muộn, nhắc lặp, cuối tuần và yêu cầu gia hạn","Chạy đồng hồ/nhắc/hết hạn","Tính từ mốc giao theo lịch chính sách; không reset khi retry/chuyển owner; gia hạn có lý do/hạn cũ mới; im lặng không là thừa nhận","Chưa thực hiện","","","","","","",""
"UAT-15","Có phản bác chưa xét hoặc chưa có cơ hội giải trình, chỉ có điểm rủi ro","Đề xuất xác nhận gian lận","Bị chặn kèm trường thiếu; `inconclusive` có lý do dùng được; checklist bắt buộc đánh giá từng phần giải trình","Chưa thực hiện","","","","","","",""
"UAT-16","Đề xuất đủ căn cứ; người đề xuất tự duyệt; hai người duyệt cạnh tranh; có bổ sung sát lúc duyệt","Duyệt hoặc thử gây lỗi giữa giao dịch","Chặn tự duyệt; chỉ một quyết định trên version; không có quyết định thiếu audit; thông tin mới phải được xét trước duyệt","Chưa thực hiện","","","","","","",""
"UAT-17","Kết luận được duyệt và bản nội bộ có trường nhạy cảm","Công bố và bàn giao","Tài xế nhận đúng bản/phiên bản, lý do và hạn khiếu nại; bàn giao có người nhận; không đổi driver status/tiền từ thao tác này","Chưa thực hiện","","","","","","",""
"UAT-18","Quyết định đã công bố, có khiếu nại đúng/trễ hạn và căn cứ mới","Tiếp nhận, phân công, sửa/hủy kết luận","Người xử lý độc lập; bản cũ còn đọc; một version hiệu lực; yêu cầu trễ có xem xét lý do; tác vụ khắc phục được theo dõi","Chưa thực hiện","","","","","","",""
"UAT-19","Người khác/đơn vị khác, hồ sơ chưa công bố, URL tải cũ, phiên đã mất quyền","Thử list/search/count/detail/file/export và tự nâng quyền","Server từ chối, không lộ snippet/tổng số nhạy cảm; thu hồi đạt NFR-01; nội bộ đặc quyền cần MFA; log không lộ token/nội dung cá nhân","Chưa thực hiện","","","","","","",""
"UAT-20","Có đọc nguồn nhạy cảm, tìm kiếm, đổi trạng thái, export và truy cập khẩn cấp","Xem audit và thử sửa bằng quyền vận hành","Đủ actor/thời gian/object/version/lý do/kết quả; không sửa/xóa được; timestamp có thể đối chiếu; thiếu event được phát hiện","Chưa thực hiện","","","","","","",""
"UAT-21","Hồ sơ có bản gốc và bản tài xế, người xuất có/không có quyền riêng","Export và tải bằng tài khoản khác hoặc sau thu hồi","Đúng bản che, manifest/hash/source, người nhận/mục đích; tải kiểm quyền lại; audit đủ; không đọc được bản gốc qua link dẫn xuất","Chưa thực hiện","","","","","","",""
"UAT-22","Dữ liệu gồm TP=30, FP=10, inconclusive=5, pending=5; 2/10 khiếu nại đã xử lý bị đảo","Xem báo cáo trên cohort cố định","Precision=75% trên 40 hồ sơ đã đủ nhãn; hiển thị 10/50 bị loại và lý do; đảo kết luận=20% trên 10 khiếu nại; không gọi đây là recall","Chưa thực hiện","","","","","","",""
