"FR","BR","UC","US","Rules","Data","UAT","Baseline","Status"
"FR-01","BR-01, BR-03","UC-01","US-01","RULE-07","DR-01, DR-02, DR-03","UAT-01","BA 1.0","Đề xuất"
"FR-02","BR-02, BR-10","UC-01","US-01","RULE-01, RULE-02, RULE-03, RULE-04, RULE-05","DR-03, DR-04, DR-05","UAT-02, UAT-03, UAT-04, UAT-05","BA 1.0","Đề xuất"
"FR-03","BR-02, BR-08","UC-01","US-01","RULE-06","DR-01, DR-04","UAT-06","BA 1.0","Đề xuất"
"FR-04","BR-08","UC-02","US-02","RULE-06, RULE-10","DR-06, DR-08","UAT-07","BA 1.0","Đề xuất"
"FR-05","BR-01, BR-07","UC-02","US-03","RULE-07, RULE-11","DR-01, DR-02, DR-03, DR-06","UAT-08, UAT-19, UAT-27","BA 1.0","Đề xuất"
"FR-06","BR-01, BR-03","UC-03","US-03","RULE-07","DR-02, DR-04","UAT-09","BA 1.0","Đề xuất"
"FR-07","BR-03","UC-03","US-04","RULE-07, RULE-17","DR-04, DR-06","UAT-10","BA 1.0","Đề xuất"
"FR-08","BR-04, BR-07","UC-04","US-05","RULE-10, RULE-11","DR-06, DR-07","UAT-11","BA 1.0","Đề xuất"
"FR-09","BR-04","UC-05","US-06","RULE-10, RULE-12","DR-06, DR-07","UAT-12, UAT-13","BA 1.0","Đề xuất"
"FR-10","BR-04, BR-08","UC-04, UC-05","US-05","RULE-10","DR-02, DR-07","UAT-14","BA 1.0","Đề xuất"
"FR-11","BR-03, BR-05","UC-06","US-04","RULE-07, RULE-08, RULE-13, RULE-17","DR-04, DR-07, DR-09","UAT-15","BA 1.0","Đề xuất"
"FR-12","BR-05","UC-06","US-07","RULE-08, RULE-09, RULE-11, RULE-12","DR-08","UAT-16","BA 1.0","Đề xuất"
"FR-13","BR-05, BR-06","UC-06","US-07","RULE-09, RULE-11, RULE-12","DR-06, DR-07, DR-08","UAT-17","BA 1.0","Đề xuất"
"FR-14","BR-06","UC-07","US-08","RULE-11, RULE-12","DR-07, DR-08","UAT-18","BA 1.0","Đề xuất"
"FR-15","BR-07","UC-09","US-09","RULE-11","DR-06","UAT-19","BA 1.0","Đề xuất"
"FR-16","BR-03, BR-07","UC-09","US-09","RULE-11, RULE-12","DR-08","UAT-20","BA 1.0","Đề xuất"
"FR-17","BR-03, BR-07","UC-09","US-09","RULE-07, RULE-11","DR-04, DR-06, DR-08","UAT-21","BA 1.0","Đề xuất"
"FR-18","BR-08, BR-09","UC-08","US-10","RULE-13, RULE-14, RULE-17","DR-03, DR-08, DR-09","UAT-22","BA 1.0","Đề xuất"
"FR-19","BR-02, BR-10","UC-08","US-11","RULE-05, RULE-15","DR-05, DR-08","UAT-23","BA 1.0","Đề xuất"
"FR-20","BR-07","UC-09","US-09","RULE-16","DR-06, DR-10","UAT-24","BA 1.0","Đề xuất"
"FR-21","BR-09, BR-10","UC-08","US-11","RULE-14, RULE-15, RULE-17","DR-05, DR-09","UAT-25","BA 1.0","Đề xuất"
"FR-22","BR-01, BR-04","UC-10","US-12","RULE-06, RULE-11, RULE-18","DR-01, DR-06, DR-07","UAT-26","BA 1.0","Đề xuất"
